stem,L,recipe,n_label,n_requested,n_got,n_true,precision,recall
5sbj_A,30,rollout,L/5,6,6,17,1.0,0.35294117647058826
5sbj_A,30,rollout,L/2,15,15,17,0.8666666666666667,0.7647058823529411
5sbj_A,30,rollout,L,30,30,17,0.5666666666666667,1.0
5sbj_A,30,single,L/5,6,6,17,0.6666666666666666,0.23529411764705882
5sbj_A,30,single,L/2,15,11,17,0.7272727272727273,0.47058823529411764
5sbj_A,30,single,L,30,11,17,0.7272727272727273,0.47058823529411764
7pv5_A,81,rollout,L/5,16,16,64,0.9375,0.234375
7pv5_A,81,rollout,L/2,40,40,64,0.875,0.546875
7pv5_A,81,rollout,L,81,81,64,0.6419753086419753,0.8125
7pv5_A,81,single,L/5,16,16,64,0.6875,0.171875
7pv5_A,81,single,L/2,40,40,64,0.65,0.40625
7pv5_A,81,single,L,81,62,64,0.6935483870967742,0.671875
7qp5_A,245,rollout,L/5,49,49,241,0.4897959183673469,0.0995850622406639
7qp5_A,245,rollout,L/2,122,122,241,0.3360655737704918,0.17012448132780084
7qp5_A,245,rollout,L,245,245,241,0.2163265306122449,0.21991701244813278
7qp5_A,245,single,L/5,49,49,241,0.08163265306122448,0.016597510373443983
7qp5_A,245,single,L/2,122,122,241,0.09836065573770492,0.04979253112033195
7qp5_A,245,single,L,245,220,241,0.07727272727272727,0.07053941908713693
7qsj_A,373,rollout,L/5,74,74,347,0.9594594594594594,0.20461095100864554
7qsj_A,373,rollout,L/2,186,186,347,0.8440860215053764,0.45244956772334294
7qsj_A,373,rollout,L,373,373,347,0.6327077747989276,0.6801152737752162
7qsj_A,373,single,L/5,74,74,347,0.40540540540540543,0.08645533141210375
7qsj_A,373,single,L/2,186,186,347,0.4838709677419355,0.25936599423631124
7qsj_A,373,single,L,373,349,347,0.5358166189111748,0.5389048991354467
7t9r_A,38,rollout,L/5,7,7,24,0.8571428571428571,0.25
7t9r_A,38,rollout,L/2,19,19,24,0.5789473684210527,0.4583333333333333
7t9r_A,38,rollout,L,38,38,24,0.3684210526315789,0.5833333333333334
7t9r_A,38,single,L/5,7,7,24,0.14285714285714285,0.041666666666666664
7t9r_A,38,single,L/2,19,19,24,0.42105263157894735,0.3333333333333333
7t9r_A,38,single,L,38,32,24,0.28125,0.375
7tjb_A,227,rollout,L/5,45,45,201,1.0,0.22388059701492538
7tjb_A,227,rollout,L/2,113,113,201,0.8938053097345132,0.5024875621890548
7tjb_A,227,rollout,L,227,227,201,0.6784140969162996,0.7661691542288557
7tjb_A,227,single,L/5,45,45,201,0.4222222222222222,0.0945273631840796
7tjb_A,227,single,L/2,113,113,201,0.5398230088495575,0.3034825870646766
7tjb_A,227,single,L,227,219,201,0.5753424657534246,0.6268656716417911
7tlh_A,136,rollout,L/5,27,27,114,0.9259259259259259,0.21929824561403508
7tlh_A,136,rollout,L/2,68,68,114,0.6764705882352942,0.40350877192982454
