metric,lower_is_better,eval_set,arm,label,n,mean,ci_lo,ci_hi
lddt,0,eval-val,off,"Helico, no contacts",95,0.3498837118315241,0.32556802821229835,0.37711965065034136
lddt,0,eval-val,mf_L5,"Helico + MarinFold, top-L/5",95,0.563786191471505,0.5316203132282471,0.5951030361399134
lddt,0,eval-val,mf_L2,"Helico + MarinFold, top-L/2",95,0.5968705355131118,0.560203693606267,0.6327429392097738
lddt,0,eval-val,mf_L,"Helico + MarinFold, top-L",95,0.6052907109030204,0.5680190191161224,0.6414785874064534
lddt,0,eval-val,v2ss,Helico + Protenix-v2 single-seq contacts,95,0.38807087816549724,0.36044952632579963,0.4169896623612714
lddt,0,eval-val,v2msa,Helico + Protenix-v2 +MSA contacts,95,0.8341675023215986,0.8207629263301514,0.8459197787415272
lddt,0,eval-val,oracle,Helico + oracle contacts,95,0.8641895893029563,0.8558679909966662,0.8719308903217261
lddt,0,eval-val,protenix_v2_single_seq,"Protenix v2, single sequence",95,0.394503347368421,0.3669000313157896,0.423376612631579
lddt,0,eval-val,protenix_v2_msa,Protenix v2 + MSA,95,0.863641831578947,0.8497866434210527,0.8754909839473687
lddt,0,eval-test,off,"Helico, no contacts",210,0.3635166124185852,0.3455371946236182,0.3827874728145358
lddt,0,eval-test,mf_L5,"Helico + MarinFold, top-L/5",210,0.558134265949959,0.5376143216362341,0.5779038976784917
lddt,0,eval-test,mf_L2,"Helico + MarinFold, top-L/2",210,0.603240228439871,0.5812327683337224,0.6244386943033788
lddt,0,eval-test,mf_L,"Helico + MarinFold, top-L",210,0.6188439797543949,0.5966977079264005,0.6407352137846533
lddt,0,eval-test,v2ss,Helico + Protenix-v2 single-seq contacts,210,0.3939227928196674,0.37248555752129103,0.416762967900347
lddt,0,eval-test,v2msa,Helico + Protenix-v2 +MSA contacts,210,0.828395158742222,0.817371560861921,0.8384358845089815
lddt,0,eval-test,oracle,Helico + oracle contacts,210,0.8601662398516802,0.8542213438188473,0.8657892585027822
lddt,0,eval-test,protenix_v2_single_seq,"Protenix v2, single sequence",210,0.40039616190476185,0.37903968035714286,0.42320281892857137
lddt,0,eval-test,protenix_v2_msa,Protenix v2 + MSA,210,0.8596414238095238,0.8488313741666668,0.8693600085714286
lddt,0,eval-denovo,off,"Helico, no contacts",19,0.824938417313126,0.7939162899614525,0.8528607213930726
lddt,0,eval-denovo,mf_L5,"Helico + MarinFold, top-L/5",19,0.8186482868069721,0.7891764329211938,0.8459469350312231
lddt,0,eval-denovo,mf_L2,"Helico + MarinFold, top-L/2",19,0.7683106860527834,0.709570428064135,0.8194293218750701
lddt,0,eval-denovo,mf_L,"Helico + MarinFold, top-L",19,0.7679902564760249,0.7097785843459141,0.817879648503364
lddt,0,eval-denovo,v2ss,Helico + Protenix-v2 single-seq contacts,19,0.826397525431766,0.7947878767795977,0.8534103132654117
lddt,0,eval-denovo,v2msa,Helico + Protenix-v2 +MSA contacts,19,0.8188344666655091,0.774259055597589,0.8520193287392324
lddt,0,eval-denovo,oracle,Helico + oracle contacts,19,0.8555400436737589,0.8372283102284319,0.8728557861963412
lddt,0,eval-denovo,protenix_v2_single_seq,"Protenix v2, single sequence",19,0.8283292105263158,0.8040923368421053,0.8506854618421053
lddt,0,eval-denovo,protenix_v2_msa,Protenix v2 + MSA,19,0.8138114736842106,0.7728195999999999,0.8450274618421054
lddt,0,all-natural,off,"Helico, no contacts",305,0.359270299120976,0.3443904016852044,0.37474197704820805
lddt,0,all-natural,mf_L5,"Helico + MarinFold, top-L/5",305,0.5598947017681454,0.5425364047876201,0.5768257546798327
lddt,0,all-natural,mf_L2,"Helico + MarinFold, top-L/2",305,0.6012562257249787,0.5823703910116194,0.6196466701649535
lddt,0,all-natural,mf_L,"Helico + MarinFold, top-L",305,0.6146224697842946,0.595422024772232,0.6331304518752624
lddt,0,all-natural,v2ss,Helico + Protenix-v2 single-seq contacts,305,0.3921000653044341,0.37479659068437443,0.4100521062331766
lddt,0,all-natural,v2msa,Helico + Protenix-v2 +MSA contacts,305,0.8301931018243227,0.8215055554643949,0.8381842008689575
lddt,0,all-natural,oracle,Helico + oracle contacts,305,0.8614194142709302,0.8566729931836088,0.8660064898823546
lddt,0,all-natural,protenix_v2_single_seq,"Protenix v2, single sequence",305,0.39856069508196723,0.38141670106557374,0.4164363044262295
lddt,0,all-natural,protenix_v2_msa,Protenix v2 + MSA,305,0.8608874524590164,0.8521156020491802,0.868738440409836
lddt,0,all,off,"Helico, no contacts",324,0.38657799741002186,0.3677985533614685,0.40575778587566935
lddt,0,all,mf_L5,"Helico + MarinFold, top-L/5",324,0.575068523113015,0.5573295154059253,0.5923655278286135
lddt,0,all,mf_L2,"Helico + MarinFold, top-L/2",324,0.6110526292627204,0.592379006819039,0.6292647710489943
