cut,value,arm,label,n,mean_lddt,ci_lo,ci_hi
viral,non-viral,off,"Helico, no contacts",286,0.357890592797715,0.34252850968217335,0.3735310607444695
viral,non-viral,mf_L5,"Helico + MarinFold, top-L/5",286,0.5619405831915727,0.5441243833159951,0.5794870563922995
viral,non-viral,mf_L2,"Helico + MarinFold, top-L/2",286,0.6026127889120156,0.583072322181898,0.621772635095114
viral,non-viral,mf_L,"Helico + MarinFold, top-L",286,0.6175270251228844,0.5977865154665707,0.6372981379638325
viral,non-viral,v2ss,Helico + Protenix-v2 single-seq contacts,286,0.3909821496834985,0.3728782544520329,0.4092006383315467
viral,non-viral,v2msa,Helico + Protenix-v2 +MSA contacts,286,0.8320057122336727,0.823400317574725,0.8398822532596515
viral,non-viral,oracle,Helico + oracle contacts,286,0.8613770826696066,0.8562757181196627,0.8659906765512676
viral,non-viral,protenix_v2_single_seq,"Protenix v2, single sequence",286,0.39766795454545456,0.37959712071678325,0.41578151319930073
viral,non-viral,protenix_v2_msa,Protenix v2 + MSA,286,0.8631436433566434,0.8544791392482518,0.8708332858391609
viral,non-viral,esmfold,ESMFold,286,0.8030948916083916,0.7874862305944056,0.8182145851398602
viral,non-viral,esmfold2,ESMFold2,286,0.8428402622377623,0.8289957294580419,0.8557962738636364
viral,viral,off,"Helico, no contacts",19,0.38003851009216777,0.3205655655535006,0.45177788098956073
viral,viral,mf_L5,"Helico + MarinFold, top-L/5",19,0.529098802447085,0.46368044195167546,0.5976024644159756
viral,viral,mf_L2,"Helico + MarinFold, top-L/2",19,0.5808363798569501,0.510785991240823,0.6487859665589153
viral,viral,mf_L,"Helico + MarinFold, top-L",19,0.5709012683718373,0.5006886812881505,0.6434898021025299
viral,viral,v2ss,Helico + Protenix-v2 single-seq contacts,19,0.4089276372827271,0.33228814837071446,0.4936353279970712
viral,viral,v2msa,Helico + Protenix-v2 +MSA contacts,19,0.8029085451362145,0.7614018529691952,0.8370626019482773
viral,viral,oracle,Helico + oracle contacts,19,0.8620566162698031,0.8467008777263664,0.8773072830783486
viral,viral,protenix_v2_single_seq,"Protenix v2, single sequence",19,0.4119987894736842,0.3377826447368421,0.49404861447368414
viral,viral,protenix_v2_msa,Protenix v2 + MSA,19,0.8269258421052631,0.7843191592105264,0.8618695263157895
viral,viral,esmfold,ESMFold,19,0.6804888947368422,0.6008327513157895,0.7510704710526316
viral,viral,esmfold2,ESMFold2,19,0.7202143684210526,0.6385726999999999,0.7911190618421053
designed,designed,off,"Helico, no contacts",19,0.824938417313126,0.7939162899614525,0.8528607213930726
designed,designed,mf_L5,"Helico + MarinFold, top-L/5",19,0.8186482868069721,0.7891764329211938,0.8459469350312231
designed,designed,mf_L2,"Helico + MarinFold, top-L/2",19,0.7683106860527834,0.709570428064135,0.8194293218750701
designed,designed,mf_L,"Helico + MarinFold, top-L",19,0.7679902564760249,0.7097785843459141,0.817879648503364
