pdb_id,status_n5,lddt_n5,dockq_n5,status_n25,lddt_n25,dockq_n25
8tuz-assembly1,ok,0.6729798156551163,,ok,0.7083261672542852,
8up2-assembly1,ok,0.6605287781872118,0.0624937117099761,ok,0.6907759546378054,0.0557543420195754
8pyr-assembly1,ok,0.5405820683883865,0.1723443567752838,ok,0.5367533337982442,0.1760392531951698
8pih-assembly1,ok,0.7096358877710637,0.0222460385411977,ok,0.713618927787768,0.0217970523692107
8ux6-assembly1,ok,0.7622946214352962,,ok,0.8006313208005588,
8w90-assembly1,ok,0.751304062661306,0.0131533816456794,ok,0.7485295997954227,0.0118065202787702
8hxq-assembly1,ok,0.6797333869575781,0.0244662016630172,ok,0.6720688903970709,0.0321696586595334
8ido-assembly1,ok,0.622848062337706,0.0,ok,0.6381832093758463,0.0
8tmz-assembly1,ok,0.8362606179027909,0.0,ok,0.7662369102666757,0.0
8qf4-assembly1,ok,0.7376765563861034,0.0,ok,0.7405636104214631,0.0
9g2g-assembly1,ok,0.7638371850246356,0.2610800862312317,ok,0.7635506339631539,0.231770768968601
9jbq-assembly1,ok,0.7983755614997339,0.2560788989067077,ok,0.7143104939119633,0.0736873319167793
8pmz-assembly1,ok,0.5006533956049998,0.0434915237128734,ok,0.5418136403447296,0.0182123577818021
8evd-assembly1,ok,0.5781373564920427,0.0260942317545413,ok,0.7068180051534702,0.0153581105189718
9fww-assembly1,ok,0.6924021917276273,0.0223340932279825,ok,0.697299029769349,0.0125306070614517
8vzo-assembly1,ok,0.7602068837950513,,ok,0.7764013981967625,
8the-assembly1,ok,0.5751862300390937,0.0,oom,,
8sgn-assembly1,ok,0.3956821314594789,,ok,0.1077764709407728,
8jyr-assembly1,ok,0.7218544427106307,0.0,ok,0.7286287085387702,0.0
8jeo-assembly1,ok,0.6896184022782793,0.1351638436317443,ok,0.6968831679598844,0.3469394744481767
8yxi-assembly1,ok,0.4079910794289242,0.017750846222043,ok,0.3535224308556182,0.0112345874948111
8vvl-assembly1,ok,0.6389100153451509,0.0,ok,0.6396916410115923,0.0
8vui-assembly1,ok,0.7430892199259823,,ok,0.734979863285889,
9en2-assembly1,ok,0.6893990253120493,0.022358514368534,ok,0.6947006868124278,0.0524314193824322
9au1-assembly1,ok,0.491814601318725,0.0,oom,,
8weo-assembly1,ok,0.4765053273590361,0.0,ok,0.5171906657846673,0.0
8q7o-assembly1,ok,0.6862042430871766,0.0172585491091012,ok,0.6881958400108537,0.0213490612696879
8vyl-assembly1,ok,0.4661912786754665,0.016098191961646,ok,0.0882032580418158,0.210160997301799
8sfz-assembly1,ok,0.8070035045484565,0.0,ok,0.8066777271210153,0.0
8q6r-assembly1,ok,0.6294208098411072,0.014493971131742,ok,0.6705317057199035,0.0351575915699528
8udz-assembly1,ok,0.2293400439450431,0.0231805816292762,oom,,
8oud-assembly1,ok,0.2868513392853796,0.031721219420433,oom,,
8zp2-assembly1,ok,0.7018381130482562,,ok,0.6835605476411137,
8s0l-assembly1,ok,0.7295138516166149,0.0178292226046323,ok,0.7061161439569466,0.0109037428607928
8rp8-assembly1,ok,0.6732086742515463,0.0784162580966949,ok,0.6969853334194807,0.0554590912562634
8z8v-assembly1,ok,0.8429993128721942,0.0070426203310489,ok,0.843472972972973,0.0121832963312856
8r4u-assembly1,ok,0.3753733843891707,0.0120237963274121,ok,0.3395373009626979,0.0097827012816664
8urf-assembly1,ok,0.6241719330033586,,ok,0.633344473660951,
8oni-assembly1,ok,0.7780884541497783,,ok,0.7825123639696158,
8ts0-assembly1,ok,0.5836518314502529,0.0,ok,0.4996982649418656,0.0
8acf-assembly1,ok,0.4808767951278669,,ok,0.4505973752886275,
8t59-assembly1,ok,0.8062706365027188,0.4954001605510711,ok,0.7486626152747158,0.1080198106991802
8v52-assembly1,ok,0.2441413319151883,0.0199909955263137,oom,,
8uky-assembly1,ok,0.7795933194027054,,ok,0.7854010178732792,
8pn0-assembly1,ok,0.223298302287039,0.0556046180427074,oom,,
8tft-assembly1,ok,0.7914502235567309,0.0,ok,0.7951563703221723,0.0
8qz3-assembly1,ok,0.2659212695427362,0.0502998493611812,oom,,
8q3j-assembly1,ok,0.5596990325540443,0.0686874315142631,ok,0.6656884688898237,0.1063409369207821
