target_id,stem,status,lddt,n_matched_atoms,n_contacts,error,arm,eval_set,is_viral,designed,exp199_stratum,L_helico
5sbj_A,5sbj_A,ok,0.8167399497487438,199,30,,mf_L,eval-denovo,0,1,no_homolog,30
7ur7_A,7ur7_A,ok,0.8404182063624092,534,70,,mf_L,eval-denovo,0,1,no_homolog,63
8ah9_A,8ah9_A,ok,0.7925063207582419,952,120,,mf_L,eval-denovo,0,1,id_30_50,115
8eov_A,8eov_A,ok,0.8731193531167831,1181,146,,mf_L,eval-denovo,0,1,,139
8fjf_A,8fjf_A,ok,0.8705386436070491,978,134,,mf_L,eval-denovo,0,1,,127
8gac_A,8gac_A,ok,0.7876478852146878,864,106,,mf_L,eval-denovo,0,1,id_70_100,103
8ju8_A,8ju8_A,ok,0.7546823854051458,1068,139,,mf_L,eval-denovo,0,1,,139
8k7o_A,8k7o_A,ok,0.820100472973584,1717,233,,mf_L,eval-denovo,0,1,,233
5sbj_A,5sbj_A,ok,0.7808645500228415,199,0,,off,eval-denovo,0,1,no_homolog,30
7ur7_A,7ur7_A,ok,0.8549504342964669,534,0,,off,eval-denovo,0,1,no_homolog,63
8ah9_A,8ah9_A,ok,0.7846007024448569,952,0,,off,eval-denovo,0,1,id_30_50,115
8eov_A,8eov_A,ok,0.8898548862220992,1181,0,,off,eval-denovo,0,1,,139
8fjf_A,8fjf_A,ok,0.8789326138920135,978,0,,off,eval-denovo,0,1,,127
8gac_A,8gac_A,ok,0.8169610702646424,864,0,,off,eval-denovo,0,1,id_70_100,103
8ju8_A,8ju8_A,ok,0.6966015350068706,1068,0,,off,eval-denovo,0,1,,139
8k7o_A,8k7o_A,ok,0.8229212826054846,1717,0,,off,eval-denovo,0,1,,233
5sbj_A,5sbj_A,ok,0.8013647784376428,199,0,,oracle,eval-denovo,0,1,no_homolog,30
7ur7_A,7ur7_A,ok,0.854749307989146,534,0,,oracle,eval-denovo,0,1,no_homolog,63
8ah9_A,8ah9_A,ok,0.7948851677024823,952,0,,oracle,eval-denovo,0,1,id_30_50,115
8eov_A,8eov_A,ok,0.8975344002688755,1181,0,,oracle,eval-denovo,0,1,,139
8fjf_A,8fjf_A,ok,0.8884895247469067,978,0,,oracle,eval-denovo,0,1,,127
8gac_A,8gac_A,ok,0.8291127956812883,864,0,,oracle,eval-denovo,0,1,id_70_100,103
8ju8_A,8ju8_A,ok,0.7825937594262158,1068,0,,oracle,eval-denovo,0,1,,139
8k7o_A,8k7o_A,ok,0.8523442186590943,1717,0,,oracle,eval-denovo,0,1,,233
