target_id,dataset,stem,status,lddt,n_matched_atoms,n_contacts,error
foldbench_rest__8fib_A,foldbench_rest,8fib_A,ok,0.8388044877716244,3299,0,
foldbench_rest__8gbe_A,foldbench_rest,8gbe_A,ok,0.8800009338511376,1658,0,
foldbench_rest__8gm7_A,foldbench_rest,8gm7_A,ok,0.8995811191133797,1288,0,
foldbench_rest__8gsy_A,foldbench_rest,8gsy_A,ok,0.8609601663980279,994,0,
foldbench_rest__8ini_A,foldbench_rest,8ini_A,ok,0.8225910837115523,768,0,
foldbench_rest__8iqc_A,foldbench_rest,8iqc_A,ok,0.8932862169431427,1717,0,
foldbench_rest__8ou1_A,foldbench_rest,8ou1_A,ok,0.8646325835671508,1087,0,
foldbench_rest__8ovq_A,foldbench_rest,8ovq_A,ok,0.8440981858727589,1507,0,
foldbench_rest__8ow8_A,foldbench_rest,8ow8_A,ok,0.8837253893655471,3219,0,
foldbench_rest__8p0e_A,foldbench_rest,8p0e_A,ok,0.8441975682166292,1377,0,
foldbench_rest__8q79_A,foldbench_rest,8q79_A,ok,0.305051855144861,1715,0,
foldbench_rest__8qnf_A,foldbench_rest,8qnf_A,ok,0.8378471126699966,3472,0,
foldbench_rest__8sx0_A,foldbench_rest,8sx0_A,ok,0.705909630012752,754,0,
foldbench_rest__8t5t_A,foldbench_rest,8t5t_A,ok,0.846937394544432,1527,0,
foldbench_rest__8ux2_A,foldbench_rest,8ux2_A,ok,0.2878198427056364,1873,0,
foldbench_rest__8w7p_A,foldbench_rest,8w7p_A,ok,0.8188794555271977,2044,0,
foldbench_rest__8wc1_A,foldbench_rest,8wc1_A,ok,0.9051833350128846,1127,0,
foldbench_rest__8wqn_A,foldbench_rest,8wqn_A,ok,0.897147550065571,1248,0,
foldbench_rest__8xif_A,foldbench_rest,8xif_A,ok,0.8583722164790032,1814,0,
foldbench_rest__9aue_A,foldbench_rest,9aue_A,ok,0.8525280645462009,3157,0,
foldbench_rest__9b8e_A,foldbench_rest,9b8e_A,ok,0.27084646038044313,1806,0,
foldbench_rest__9gso_A,foldbench_rest,9gso_A,ok,0.8695002875529454,1375,0,
foldbench_rest__9jq9_A,foldbench_rest,9jq9_A,ok,0.8787529863089222,1429,0,
