target_id,dataset,stem,status,lddt,n_matched_atoms,n_contacts,error
cameo_hard__8j4i_A,cameo_hard,8j4i_A,ok,0.3286698824959885,1491,0,
cameo_hard__8jvx_B,cameo_hard,8jvx_B,ok,0.49107825070789696,297,7,
cameo_hard__8raj_A,cameo_hard,8raj_A,ok,0.663428261379634,465,12,
cameo_hard__8s3m_A,cameo_hard,8s3m_A,ok,0.47765869800337013,2796,69,
cameo_hard__8s89_A,cameo_hard,8s89_A,ok,0.8621767102328239,3055,80,
cameo_hard__8u1a_A,cameo_hard,8u1a_A,ok,0.2370816385131267,2759,64,
cameo_hard__8v4w_A,cameo_hard,8v4w_A,ok,0.38879297296274573,1714,41,
cameo_hard__8vd6_A,cameo_hard,8vd6_A,ok,0.6528132232009733,1384,34,
cameo_hard__8vej_B,cameo_hard,8vej_B,ok,0.7823887555687903,1835,48,
cameo_hard__8wwc_C,cameo_hard,8wwc_C,ok,0.7390927815747589,741,22,
cameo_hard__8xtn_A,cameo_hard,8xtn_A,ok,0.3483058210251955,232,0,
cameo_hard__8yl4_B,cameo_hard,8yl4_B,ok,0.8053943450977137,1517,41,
cameo_hard__8yoz_A,cameo_hard,8yoz_A,ok,0.5231194754594091,632,0,
cameo_hard__8zaf_A,cameo_hard,8zaf_A,ok,0.31045733555059774,2869,0,
cameo_hard__9b7d_D,cameo_hard,9b7d_D,ok,0.2963868012629519,1575,38,
cameo_hard__9bch_A,cameo_hard,9bch_A,ok,0.31601646212470974,1544,39,
cameo_hard__9de9_B,cameo_hard,9de9_B,ok,0.6132651874715912,641,16,
cameo_hard__9deb_E,cameo_hard,9deb_E,ok,0.8499951990782231,623,16,
cameo_hard__9def_A,cameo_hard,9def_A,ok,0.5320345695602389,1194,30,
cameo_hard__9deg_A,cameo_hard,9deg_A,ok,0.7853183037130725,1259,31,
cameo_hard__9dl1_D,cameo_hard,9dl1_D,ok,0.5644025841789264,1059,24,
cameo_hard__9emy_B,cameo_hard,9emy_B,ok,0.2305338999426787,3007,0,
cameo_hard__9eqn_A,cameo_hard,9eqn_A,ok,0.5078909673788858,560,14,
cameo_hard__9eum_A,cameo_hard,9eum_A,ok,0.29845927134171335,1334,0,
cameo_hard__9f4c_A,cameo_hard,9f4c_A,ok,0.4344630243393107,1113,0,
cameo_hard__9fdg_A,cameo_hard,9fdg_A,ok,0.6216157130154114,1442,35,
cameo_hard__9hac_B,cameo_hard,9hac_B,ok,0.6995219806029123,1099,25,
cameo_hard__9had_C,cameo_hard,9had_C,ok,0.7279386189258312,908,21,
cameo_hard__9isp_A,cameo_hard,9isp_A,ok,0.23670578191212632,1183,0,
cameo_hard__9j46_F,cameo_hard,9j46_F,ok,0.30275823199890695,971,24,
cameo_hard__9j5h_A,cameo_hard,9j5h_A,ok,0.5913555787278415,270,7,
cameo_hard__9k3e_C,cameo_hard,9k3e_C,ok,0.36445105497577945,943,23,
casp_fm__T1104-D1,casp_fm,T1104-D1,ok,0.5703797516568905,899,23,
casp_fm__T1112-D1,casp_fm,T1112-D1,ok,0.41009219558920795,3554,0,
casp_fm__T1113-D1,casp_fm,T1113-D1,ok,0.4201239258484841,1343,33,
casp_fm__T1120-D1,casp_fm,T1120-D1,ok,0.43493970156847467,910,0,
casp_fm__T1120-D2,casp_fm,T1120-D2,ok,0.4208774123770575,820,0,
casp_fm__T1121-D1,casp_fm,T1121-D1,ok,0.31783803650916814,1538,0,
casp_fm__T1122-D1,casp_fm,T1122-D1,ok,0.3902854712027547,1833,46,
casp_fm__T1123-D1,casp_fm,T1123-D1,ok,0.2228043328102286,1681,42,
casp_fm__T1125-D1,casp_fm,T1125-D1,ok,0.3789953977064394,1081,26,
casp_fm__T1125-D2,casp_fm,T1125-D2,ok,0.33481379196636507,1151,29,
casp_fm__T1125-D4,casp_fm,T1125-D4,ok,0.4684437721154463,1136,28,
