target_id,eval_set,arm,numbering,lddt,tm_score,gdt_ts,rmsd,n_matched_atoms,residue_identity
5sbj_A,eval-denovo,esmfold,prompt,0.862252,0.876957,1.0,0.254042,196,0.9286
7ur7_A,eval-denovo,esmfold,prompt,0.81481,0.896668,0.920635,0.679869,534,1.0
8ah9_A,eval-denovo,esmfold,prompt,0.842344,0.978207,0.976087,0.349805,925,1.0
8eov_A,eval-denovo,esmfold,resolved,0.896645,0.968011,0.942446,0.46674,1181,1.0
8fjf_A,eval-denovo,esmfold,resolved,0.540889,0.336704,0.003937,10.858152,978,1.0
8gac_A,eval-denovo,esmfold,prompt,0.861311,0.947978,0.941748,0.568011,864,1.0
8ju8_A,eval-denovo,esmfold,prompt,0.814695,0.915904,0.793165,1.551202,1068,1.0
8k7o_A,eval-denovo,esmfold,prompt,0.861086,0.976029,0.94206,0.552733,1717,1.0
8k7z_A,eval-denovo,esmfold,resolved,0.472256,0.48247,0.203488,5.144689,1153,1.0
8k83_A,eval-denovo,esmfold,prompt,0.887966,0.964086,0.91523,0.566569,1271,1.0
8k84_A,eval-denovo,esmfold,prompt,0.877716,0.977,0.969653,0.442902,1293,1.0
8kcj_A,eval-denovo,esmfold,prompt,0.878935,0.947729,0.853352,1.258973,1300,1.0
8ka7_A,eval-denovo,esmfold,resolved,0.90147,0.974799,0.969565,0.377654,827,1.0
8kac_A,eval-denovo,esmfold,resolved,0.881478,0.96065,0.944215,0.508065,860,1.0
8oys_A,eval-denovo,esmfold,prompt,0.835422,0.960335,0.913564,0.975532,1367,1.0
8oyy_A,eval-denovo,esmfold,prompt,0.909378,0.981921,0.9603,0.510715,1871,1.0
8qkd_A,eval-denovo,esmfold,resolved,0.938471,0.992484,0.987544,0.352409,1924,1.0
8qup_A,eval-denovo,esmfold,resolved,0.581359,0.705896,0.035088,11.884332,883,1.0
8vc8_A,eval-denovo,esmfold,resolved,0.809224,0.936507,0.862944,1.082284,1500,1.0
8ev4_A,eval-test,esmfold,prompt,0.937582,0.977366,0.978261,0.638317,834,1.0
8ew1_A,eval-test,esmfold,prompt,0.831844,0.967215,0.923295,0.832765,2215,1.0
8ew9_A,eval-test,esmfold,prompt,0.81483,0.942587,0.859959,0.9819,1856,1.0
8ey3_A,eval-test,esmfold,prompt,0.916183,0.953402,0.983333,0.362973,445,1.0
8ez6_A,eval-test,esmfold,prompt,0.913447,0.940847,0.953846,0.590681,512,1.0
8ezw_A,eval-test,esmfold,prompt,0.880568,0.949803,0.92803,0.894837,1050,1.0
8f8n_A,eval-test,esmfold,prompt,0.858732,0.965047,0.949324,0.546797,1167,0.9662
8f9o_A,eval-test,esmfold,prompt,0.896619,0.984518,0.934292,0.602578,3864,1.0
8fbc_A,eval-test,esmfold,prompt,0.833975,0.959349,0.879771,1.063803,3099,1.0
