target_id,eval_set,arm,n_pred,n_true,precision,recall
5sbj_A,eval-denovo,v2ss,18,17,0.888889,0.941176
7ur7_A,eval-denovo,v2ss,58,60,0.844828,0.816667
8ah9_A,eval-denovo,v2ss,120,132,0.941667,0.856061
8eov_A,eval-denovo,v2ss,150,145,0.853333,0.882759
8fjf_A,eval-denovo,v2ss,98,95,0.826531,0.852632
8gac_A,eval-denovo,v2ss,80,79,0.825,0.835443
8ju8_A,eval-denovo,v2ss,99,93,0.767677,0.817204
8k7o_A,eval-denovo,v2ss,201,204,0.830846,0.818627
8k7z_A,eval-denovo,v2ss,96,91,0.822917,0.868132
8k83_A,eval-denovo,v2ss,118,122,0.90678,0.877049
8k84_A,eval-denovo,v2ss,142,136,0.838028,0.875
8kcj_A,eval-denovo,v2ss,130,122,0.876923,0.934426
8ka7_A,eval-denovo,v2ss,112,87,0.607143,0.781609
8kac_A,eval-denovo,v2ss,97,104,0.917526,0.855769
8oys_A,eval-denovo,v2ss,151,148,0.741722,0.756757
8oyy_A,eval-denovo,v2ss,235,239,0.948936,0.933054
8qkd_A,eval-denovo,v2ss,245,239,0.881633,0.903766
8qup_A,eval-denovo,v2ss,89,93,0.831461,0.795699
8vc8_A,eval-denovo,v2ss,154,147,0.720779,0.755102
8ev4_A,eval-test,v2ss,82,95,0.085366,0.073684
8ew1_A,eval-test,v2ss,391,363,0.056266,0.060606
8ew9_A,eval-test,v2ss,221,231,0.085973,0.082251
8ey3_A,eval-test,v2ss,39,39,0.307692,0.307692
8ez6_A,eval-test,v2ss,47,42,0.446809,0.5
8ezw_A,eval-test,v2ss,131,118,0.335878,0.372881
8f8n_A,eval-test,v2ss,109,109,0.431193,0.431193
8f9o_A,eval-test,v2ss,589,590,0.11545,0.115254
8fbc_A,eval-test,v2ss,391,426,0.189258,0.173709
8jjq_A,eval-test,v2ss,305,346,0.131148,0.115607
8fib_A,eval-test,v2ss,421,404,0.035629,0.037129
8fr5_A,eval-test,v2ss,82,90,0.341463,0.311111
8fty_A,eval-test,v2ss,607,581,0.405272,0.423408
8h2f_A,eval-test,v2ss,164,187,0.121951,0.106952
8fz8_A,eval-test,v2ss,376,367,0.058511,0.059946
8fz9_A,eval-test,v2ss,137,139,0.116788,0.115108
8g0n_A,eval-test,v2ss,229,263,0.117904,0.102662
8g1l_A,eval-test,v2ss,282,275,0.539007,0.552727
8g1y_A,eval-test,v2ss,470,476,0.1,0.098739
8g32_A,eval-test,v2ss,355,335,0.019718,0.020896
8g52_A,eval-test,v2ss,252,256,0.579365,0.570312
8g53_A,eval-test,v2ss,144,150,0.402778,0.386667
8g5u_A,eval-test,v2ss,479,535,0.064718,0.057944
8g64_A,eval-test,v2ss,173,150,0.33526,0.386667
8gbe_A,eval-test,v2ss,192,200,0.052083,0.05
8gdl_A,eval-test,v2ss,323,398,0.139319,0.113065
8gj9_A,eval-test,v2ss,39,36,0.794872,0.861111
8gjw_A,eval-test,v2ss,464,426,0.096983,0.105634
8gjy_A,eval-test,v2ss,508,423,0.149606,0.179669
8gkd_A,eval-test,v2ss,448,455,0.537946,0.52967
8gok_A,eval-test,v2ss,280,274,0.092857,0.094891
8gr7_A,eval-test,v2ss,329,356,0.231003,0.213483
8gsy_A,eval-test,v2ss,118,123,0.542373,0.520325
8gqq_A,eval-test,v2ss,107,99,0.64486,0.69697
8gtz_A,eval-test,v2ss,498,472,0.176707,0.186441
8h02_A,eval-test,v2ss,54,54,0.166667,0.166667
8h5s_A,eval-test,v2ss,193,191,0.139896,0.141361
8hbt_A,eval-test,v2ss,485,475,0.049485,0.050526
8hd2_A,eval-test,v2ss,402,365,0.141791,0.156164
8he1_A,eval-test,v2ss,252,252,0.170635,0.170635
8axs_A,eval-test,v2ss,737,722,0.404342,0.412742
8hnq_A,eval-test,v2ss,301,306,0.388704,0.382353
8hvd_A,eval-test,v2ss,801,711,0.178527,0.201125
7xhz_A,eval-test,v2ss,246,223,0.231707,0.255605
8hw8_A,eval-test,v2ss,355,362,0.169014,0.165746
8hxs_A,eval-test,v2ss,103,114,0.116505,0.105263
8ii8_A,eval-test,v2ss,148,138,0.378378,0.405797
8ikx_A,eval-test,v2ss,410,425,0.363415,0.350588
8ini_A,eval-test,v2ss,82,82,0.073171,0.073171
8iqc_A,eval-test,v2ss,238,231,0.352941,0.363636
8irq_A,eval-test,v2ss,119,134,0.117647,0.104478
8iym_A,eval-test,v2ss,151,162,0.337748,0.314815
8j2n_A,eval-test,v2ss,276,258,0.257246,0.275194
8j2x_A,eval-test,v2ss,256,231,0.421875,0.467532
8jb3_A,eval-test,v2ss,480,420,0.139583,0.159524
7wr2_A,eval-test,v2ss,142,136,0.676056,0.705882
8j8y_A,eval-test,v2ss,98,96,0.826531,0.84375
8j9r_A,eval-test,v2ss,51,51,0.058824,0.058824
8jdg_A,eval-test,v2ss,428,399,0.231308,0.24812
8jh8_A,eval-test,v2ss,238,251,0.306723,0.290837
8jiy_A,eval-test,v2ss,244,244,0.483607,0.483607
8jmy_A,eval-test,v2ss,112,119,0.267857,0.252101
8jn0_A,eval-test,v2ss,89,97,0.573034,0.525773
8jup_A,eval-test,v2ss,215,230,0.065116,0.06087
8jv2_A,eval-test,v2ss,421,394,0.047506,0.050761
8jws_A,eval-test,v2ss,90,108,0.022222,0.018519
8cjd_A,eval-test,v2ss,903,792,0.081949,0.093434
8k2g_A,eval-test,v2ss,680,613,0.225,0.249592
8k2k_A,eval-test,v2ss,649,653,0.149461,0.148545
8k2m_A,eval-test,v2ss,702,631,0.2151,0.239303
8k4m_A,eval-test,v2ss,138,119,0.094203,0.109244
8k5j_A,eval-test,v2ss,457,468,0.113786,0.111111
8k7x_A,eval-test,v2ss,763,746,0.280472,0.286863
8kg4_A,eval-test,v2ss,320,270,0.159375,0.188889
8xrh_A,eval-test,v2ss,442,389,0.029412,0.033419
8khv_A,eval-test,v2ss,736,666,0.110054,0.121622
8kih_A,eval-test,v2ss,315,285,0.187302,0.207018
8ok3_A,eval-test,v2ss,126,115,0.769841,0.843478
8oqh_A,eval-test,v2ss,67,71,0.940299,0.887324
8ork_A,eval-test,v2ss,417,406,0.359712,0.369458
8os2_A,eval-test,v2ss,102,108,0.098039,0.092593
8owf_A,eval-test,v2ss,678,651,0.089971,0.093702
8osz_A,eval-test,v2ss,267,272,0.142322,0.139706
