target_id,dataset,stem,status,lddt,n_matched_atoms,n_contacts,error
foldbench_rest__8fib_A,foldbench_rest,8fib_A,ok,0.2755165391340961,3299,0,
foldbench_rest__8gbe_A,foldbench_rest,8gbe_A,ok,0.33918439373740106,1658,0,
foldbench_rest__8gm7_A,foldbench_rest,8gm7_A,ok,0.37852126525189667,1288,0,
foldbench_rest__8gsy_A,foldbench_rest,8gsy_A,ok,0.5752376268133119,994,0,
foldbench_rest__8ini_A,foldbench_rest,8ini_A,ok,0.3097489234241335,768,0,
foldbench_rest__8iqc_A,foldbench_rest,8iqc_A,ok,0.41234732807106184,1717,0,
foldbench_rest__8ou1_A,foldbench_rest,8ou1_A,ok,0.28717439943780454,1087,0,
foldbench_rest__8ovq_A,foldbench_rest,8ovq_A,ok,0.36127094710626767,1507,0,
foldbench_rest__8ow8_A,foldbench_rest,8ow8_A,ok,0.28751400634905794,3219,0,
foldbench_rest__8p0e_A,foldbench_rest,8p0e_A,ok,0.2793024223285366,1377,0,
foldbench_rest__8q79_A,foldbench_rest,8q79_A,ok,0.2648553437414087,1715,0,
foldbench_rest__8qnf_A,foldbench_rest,8qnf_A,ok,0.34692008572049055,3472,0,
foldbench_rest__8sx0_A,foldbench_rest,8sx0_A,ok,0.7197919546277387,754,0,
foldbench_rest__8t5t_A,foldbench_rest,8t5t_A,ok,0.28727766451068615,1527,0,
foldbench_rest__8ux2_A,foldbench_rest,8ux2_A,ok,0.2845794379868055,1873,0,
foldbench_rest__8w7p_A,foldbench_rest,8w7p_A,ok,0.2622532423563727,2044,0,
foldbench_rest__8wc1_A,foldbench_rest,8wc1_A,ok,0.40501058117271066,1127,0,
foldbench_rest__8wqn_A,foldbench_rest,8wqn_A,ok,0.3087856583292577,1248,0,
foldbench_rest__8xif_A,foldbench_rest,8xif_A,ok,0.29824676594674643,1814,0,
foldbench_rest__9aue_A,foldbench_rest,9aue_A,ok,0.3113435497403297,3157,0,
foldbench_rest__9b8e_A,foldbench_rest,9b8e_A,ok,0.26913355812514544,1806,0,
foldbench_rest__9gso_A,foldbench_rest,9gso_A,ok,0.3957872444032122,1375,0,
foldbench_rest__9jq9_A,foldbench_rest,9jq9_A,ok,0.3521279365371068,1429,0,
