target_id,eval_set,n_sequences,shallow,seq_len,designed
5sbj_A,eval-denovo,2,1,30,1
7ur7_A,eval-denovo,2,1,63,1
8ah9_A,eval-denovo,8,1,115,1
8eov_A,eval-denovo,2,1,139,1
8fjf_A,eval-denovo,2,1,127,1
8gac_A,eval-denovo,2,1,103,1
8ju8_A,eval-denovo,2,1,139,1
8k7o_A,eval-denovo,64,0,233,1
8k7z_A,eval-denovo,2,1,172,1
8k83_A,eval-denovo,2,1,174,1
8k84_A,eval-denovo,201,0,173,1
8kcj_A,eval-denovo,2,1,179,1
8ka7_A,eval-denovo,2,1,115,1
8kac_A,eval-denovo,351,0,121,1
8oys_A,eval-denovo,2,1,190,1
8oyy_A,eval-denovo,2,1,233,1
8qkd_A,eval-denovo,2,1,281,1
8qup_A,eval-denovo,188,0,114,1
8vc8_A,eval-denovo,2,1,197,1
8es6_A,eval-test,12485,0,430,0
8ev4_A,eval-test,14661,0,115,0
8ew1_A,eval-test,3961,0,264,0
8ew9_A,eval-test,255,0,241,0
8ey3_A,eval-test,5066,0,60,0
8ez6_A,eval-test,3128,0,65,0
8ezw_A,eval-test,4248,0,132,0
8f8n_A,eval-test,657,0,148,0
8f9o_A,eval-test,11347,0,487,0
8fbc_A,eval-test,10030,0,393,0
8jjq_A,eval-test,2953,0,321,0
8fib_A,eval-test,12207,0,418,0
8fr5_A,eval-test,122,0,92,0
8fty_A,eval-test,6774,0,483,0
8h2f_A,eval-test,8455,0,172,0
8fz8_A,eval-test,11212,0,390,0
8fz9_A,eval-test,1192,0,136,0
8g0n_A,eval-test,3098,0,242,0
8g1l_A,eval-test,440,0,252,0
8g1y_A,eval-test,15247,0,496,0
8g32_A,eval-test,1082,0,327,0
8g52_A,eval-test,1325,0,279,0
8g53_A,eval-test,598,0,184,0
8g5u_A,eval-test,6140,0,481,0
8g64_A,eval-test,2729,0,169,0
8gbe_A,eval-test,104,0,205,0
8gdl_A,eval-test,159,0,355,0
8gj9_A,eval-test,912,0,62,0
8gjw_A,eval-test,154,0,346,0
8gjy_A,eval-test,2514,0,344,0
8gkd_A,eval-test,619,0,353,0
8gok_A,eval-test,51,0,273,0
8gr7_A,eval-test,2661,0,326,0
8gsy_A,eval-test,165,0,126,0
8gqq_A,eval-test,4081,0,99,0
8gtz_A,eval-test,7510,0,462,0
8q79_A,eval-test,663,0,215,0
8h02_A,eval-test,2728,0,79,0
8h5s_A,eval-test,12371,0,247,0
8hbt_A,eval-test,3236,0,431,0
8hd2_A,eval-test,970,0,314,0
8he1_A,eval-test,8863,0,225,0
8axs_A,eval-test,864,0,573,0
8hnq_A,eval-test,19394,0,286,0
8hvd_A,eval-test,4962,0,602,0
7xhz_A,eval-test,3439,0,231,0
8hw8_A,eval-test,9271,0,326,0
8hxs_A,eval-test,5612,0,100,0
8ii8_A,eval-test,3,1,225,0
8ikx_A,eval-test,14703,0,390,0
8ini_A,eval-test,79,0,95,0
8iqc_A,eval-test,183,0,226,0
8irq_A,eval-test,1300,0,150,0
8iym_A,eval-test,2614,0,155,0
8j2n_A,eval-test,8533,0,239,0
8j2x_A,eval-test,6984,0,337,0
8jb3_A,eval-test,1470,0,419,0
7wr2_A,eval-test,730,0,136,0
8j8y_A,eval-test,11,0,129,0
8j9r_A,eval-test,5606,0,72,0
8jdg_A,eval-test,15318,0,456,0
8jh8_A,eval-test,8861,0,242,0
8jiy_A,eval-test,1096,0,216,0
8jmy_A,eval-test,2732,0,128,0
8jn0_A,eval-test,3973,0,89,0
8jup_A,eval-test,12161,0,288,0
8jv2_A,eval-test,5610,0,360,0
8jws_A,eval-test,4562,0,117,0
8cjd_A,eval-test,2440,0,635,0
8k2g_A,eval-test,5157,0,505,0
8k2k_A,eval-test,3501,0,529,0
8k2m_A,eval-test,2832,0,559,0
8k4m_A,eval-test,47,0,124,0
8k5j_A,eval-test,15313,0,403,0
8k7x_A,eval-test,8026,0,673,0
8kg4_A,eval-test,2987,0,265,0
8xrh_A,eval-test,705,0,389,0
8khv_A,eval-test,4763,0,579,0
8kih_A,eval-test,33,0,291,0
8ok3_A,eval-test,22,0,121,0
8oqh_A,eval-test,1395,0,81,0
8ork_A,eval-test,2550,0,460,0
8os2_A,eval-test,4314,0,123,0
8owf_A,eval-test,9943,0,563,0
8osz_A,eval-test,4809,0,246,0
8ou1_A,eval-test,1046,0,142,0
8ovq_A,eval-test,618,0,208,0
8ovu_A,eval-test,8265,0,99,0
8ow8_A,eval-test,130,0,401,0
8oxk_A,eval-test,6,1,94,0
8oxl_A,eval-test,117,0,92,0
8p0e_A,eval-test,8419,0,184,0
8p2a_A,eval-test,11747,0,89,0
8p5p_A,eval-test,6266,0,107,0
8p5n_A,eval-test,13839,0,138,0
7wu8_A,eval-test,1232,0,82,0
8pak_A,eval-test,1843,0,345,0
8paq_A,eval-test,110,0,159,0
8pb5_A,eval-test,6343,0,320,0
8por_A,eval-test,14537,0,164,0
8ptd_A,eval-test,2286,0,343,0
8pu2_A,eval-test,655,0,74,0
8pvs_A,eval-test,6924,0,731,0
8pw2_A,eval-test,27,0,60,0
8pxc_A,eval-test,1414,0,252,0
8pxu_A,eval-test,11928,0,646,0
8q1v_A,eval-test,9866,0,79,0
8qb1_A,eval-test,5907,0,88,0
8qd8_A,eval-test,2475,0,412,0
8qjp_A,eval-test,9163,0,250,0
8qlc_A,eval-test,4321,0,624,0
8qoh_A,eval-test,3,1,274,0
8qpj_A,eval-test,660,0,292,0
8qq1_A,eval-test,5339,0,217,0
8qle_A,eval-test,2493,0,272,0
8qx6_A,eval-test,2646,0,165,0
8r2c_A,eval-test,3459,0,169,0
8r5n_A,eval-test,2557,0,165,0
8ra0_A,eval-test,3854,0,485,0
8rcw_A,eval-test,1862,0,205,0
8rdd_A,eval-test,466,0,164,0
8re3_A,eval-test,9077,0,445,0
8rom_A,eval-test,6634,0,194,0
8an4_A,eval-test,3434,0,195,0
8qnf_A,eval-test,10778,0,447,0
8s5b_A,eval-test,6835,0,377,0
8s9l_A,eval-test,1109,0,241,0
8sot_A,eval-test,7483,0,116,0
8spc_A,eval-test,12149,0,370,0
8suc_A,eval-test,2148,0,282,0
8sv7_A,eval-test,8193,0,272,0
8sx0_A,eval-test,47,0,96,0
