target_id,dataset,stem,status,lddt,n_matched_atoms,n_contacts,error
cameo_hard__8j4i_A,cameo_hard,8j4i_A,ok,0.5595131905478538,1491,190,
cameo_hard__8jvx_B,cameo_hard,8jvx_B,ok,0.47617870466088363,297,39,
cameo_hard__8raj_A,cameo_hard,8raj_A,ok,0.6512274167057719,465,62,
cameo_hard__8s3m_A,cameo_hard,8s3m_A,ok,0.43822279935039177,2796,345,
cameo_hard__8s89_A,cameo_hard,8s89_A,ok,0.8558621591139519,3055,401,
cameo_hard__8u1a_A,cameo_hard,8u1a_A,ok,0.34478280170735703,2759,324,
cameo_hard__8v4w_A,cameo_hard,8v4w_A,ok,0.3645346527160237,1714,207,
cameo_hard__8vd6_A,cameo_hard,8vd6_A,ok,0.6440158978440035,1384,174,
cameo_hard__8vej_B,cameo_hard,8vej_B,ok,0.7574481657295334,1835,242,
cameo_hard__8wwc_C,cameo_hard,8wwc_C,ok,0.48056829884842245,741,113,
cameo_hard__8xtn_A,cameo_hard,8xtn_A,ok,0.35860121633362296,232,33,
cameo_hard__8yl4_B,cameo_hard,8yl4_B,ok,0.4266307936711583,1517,207,
cameo_hard__8yoz_A,cameo_hard,8yoz_A,ok,0.7149845894394045,632,79,
cameo_hard__8zaf_A,cameo_hard,8zaf_A,ok,0.3326808972324379,2869,353,
cameo_hard__9b7d_D,cameo_hard,9b7d_D,ok,0.32063192066527324,1575,192,
cameo_hard__9bch_A,cameo_hard,9bch_A,ok,0.29377984578386307,1544,198,
cameo_hard__9de9_B,cameo_hard,9de9_B,ok,0.6377760277375504,641,81,
cameo_hard__9deb_E,cameo_hard,9deb_E,ok,0.854342700465156,623,83,
cameo_hard__9def_A,cameo_hard,9def_A,ok,0.8155193951036708,1194,151,
cameo_hard__9deg_A,cameo_hard,9deg_A,ok,0.7806036187570357,1259,157,
cameo_hard__9dl1_D,cameo_hard,9dl1_D,ok,0.573086004704891,1059,124,
cameo_hard__9emy_B,cameo_hard,9emy_B,ok,0.6423926687202737,3007,379,
cameo_hard__9eqn_A,cameo_hard,9eqn_A,ok,0.5790375662909468,560,72,
cameo_hard__9eum_A,cameo_hard,9eum_A,ok,0.5224712070803181,1334,176,
cameo_hard__9f4c_A,cameo_hard,9f4c_A,ok,0.46021032898015357,1113,141,
cameo_hard__9fdg_A,cameo_hard,9fdg_A,ok,0.6504254462026716,1442,179,
cameo_hard__9hac_B,cameo_hard,9hac_B,ok,0.41852946865242735,1099,127,
cameo_hard__9had_C,cameo_hard,9had_C,ok,0.844533674339301,908,108,
cameo_hard__9isp_A,cameo_hard,9isp_A,ok,0.24532662489828405,1183,156,
cameo_hard__9j46_F,cameo_hard,9j46_F,ok,0.3303849569613335,971,124,
cameo_hard__9j5h_A,cameo_hard,9j5h_A,ok,0.3909697601668405,270,35,
cameo_hard__9k3e_C,cameo_hard,9k3e_C,ok,0.3544751129750642,943,116,
casp_fm__T1104-D1,casp_fm,T1104-D1,ok,0.47917936314466364,899,117,
casp_fm__T1112-D1,casp_fm,T1112-D1,ok,0.5474273467968161,3554,460,
casp_fm__T1113-D1,casp_fm,T1113-D1,ok,0.41038580207563047,1343,167,
casp_fm__T1120-D1,casp_fm,T1120-D1,ok,0.4541163517262762,910,118,
casp_fm__T1120-D2,casp_fm,T1120-D2,ok,0.4527051576705986,820,110,
casp_fm__T1121-D1,casp_fm,T1121-D1,ok,0.3641319884020092,1538,196,
casp_fm__T1122-D1,casp_fm,T1122-D1,ok,0.3393941496295593,1833,230,
casp_fm__T1123-D1,casp_fm,T1123-D1,ok,0.21161321460878413,1681,214,
casp_fm__T1125-D1,casp_fm,T1125-D1,ok,0.3453964420730551,1081,134,
casp_fm__T1125-D2,casp_fm,T1125-D2,ok,0.3179048762391542,1151,148,
casp_fm__T1125-D4,casp_fm,T1125-D4,ok,0.4564030592912564,1136,141,
casp_fm__T1125-D5,casp_fm,T1125-D5,ok,0.5030367332893643,1191,150,
denovo_pdb__7ah0_A,denovo_pdb,7ah0_A,ok,0.6548104621293568,834,104,
denovo_pdb__7dgu_A,denovo_pdb,7dgu_A,ok,0.8865974307230398,756,97,
denovo_pdb__7dgw_A,denovo_pdb,7dgw_A,ok,0.7770562869437314,708,94,
denovo_pdb__7dgy_A,denovo_pdb,7dgy_A,ok,0.9023069622563453,766,99,
denovo_pdb__7dmf_A,denovo_pdb,7dmf_A,ok,0.492450814461965,1478,189,
denovo_pdb__7f1h_A,denovo_pdb,7f1h_A,ok,0.48460835814792463,1490,189,
denovo_pdb__7f1i_A,denovo_pdb,7f1i_A,ok,0.49010483050261333,1498,191,
denovo_pdb__7f1j_A,denovo_pdb,7f1j_A,ok,0.5006731202310302,1486,190,
denovo_pdb__7f1k_A,denovo_pdb,7f1k_A,ok,0.4871730309456159,1512,193,
denovo_pdb__7f1l_A,denovo_pdb,7f1l_A,ok,0.4664770078439593,1527,194,
denovo_pdb__7hiy_A,denovo_pdb,7hiy_A,ok,0.873601533801637,971,126,
denovo_pdb__7hiz_A,denovo_pdb,7hiz_A,ok,0.8772089648500483,971,126,
