target_id,eval_set,L,n_true,n_voted,voted_over_L,n_1p5L,precision_1p5L,recall_1p5L,n_pairs_1p5L,n_2L,precision_2L,recall_2L,n_pairs_2L,n_3L,precision_3L,recall_3L,n_pairs_3L,n_5L,precision_5L,recall_5L,n_pairs_5L,n_union,precision_union,recall_union,n_pairs_union
7qp5_A,eval-val,245,241,4841,19.76,367,0.346049,0.526971,367,490,0.297959,0.605809,490,735,0.239456,0.73029,735,1225,0.158367,0.804979,1225,4841,0.047511,0.954357,4841
7qsj_A,eval-val,373,347,3864,10.36,559,0.488372,0.786744,559,746,0.394102,0.847262,746,1119,0.282395,0.910663,1119,1865,0.176408,0.948127,1865,3864,0.086957,0.9683,3864
7t9r_A,eval-val,38,24,360,9.47,57,0.175439,0.416667,57,76,0.157895,0.5,76,114,0.122807,0.583333,114,190,0.084211,0.666667,190,360,0.058333,0.875,360
7tlh_A,eval-val,136,114,1575,11.58,204,0.308824,0.552632,204,272,0.294118,0.701754,272,408,0.230392,0.824561,408,680,0.154412,0.921053,680,1575,0.071111,0.982456,1575
7tjb_A,eval-val,227,201,1317,5.8,340,0.514706,0.870647,340,454,0.403084,0.910448,454,681,0.28047,0.950249,681,1135,0.173568,0.9801,1135,1317,0.149582,0.9801,1317
7uba_A,eval-val,213,208,5330,25.02,319,0.181818,0.278846,319,426,0.150235,0.307692,426,639,0.122066,0.375,639,1065,0.086385,0.442308,1065,5330,0.031144,0.798077,5330
7uk8_A,eval-val,394,526,5580,14.16,591,0.478849,0.538023,591,788,0.418782,0.627376,788,1182,0.326565,0.73384,1182,1970,0.233503,0.874525,1970,5580,0.091398,0.969582,5580
7ur2_A,eval-val,195,137,3565,18.28,292,0.260274,0.554745,292,390,0.220513,0.627737,390,585,0.177778,0.759124,585,975,0.116923,0.832117,975,3565,0.037027,0.963504,3565
7urp_A,eval-val,160,134,2080,13.0,240,0.295833,0.529851,240,320,0.234375,0.559701,320,480,0.175,0.626866,480,800,0.11625,0.69403,800,2080,0.055288,0.858209,2080
7uvg_A,eval-val,183,178,3264,17.84,274,0.328467,0.505618,274,366,0.262295,0.539326,366,549,0.202186,0.623596,549,915,0.133333,0.685393,915,3264,0.04473,0.820225,3264
7uww_A,eval-val,635,693,18289,28.8,952,0.321429,0.441558,952,1270,0.262205,0.480519,1270,1905,0.197375,0.542569,1905,3175,0.133543,0.611833,3175,18289,0.031604,0.834055,18289
7v3o_A,eval-val,328,272,7208,21.98,492,0.264228,0.477941,492,656,0.224085,0.540441,656,984,0.172764,0.625,984,1640,0.12439,0.75,1640,7208,0.034822,0.922794,7208
7w15_A,eval-val,302,303,2118,7.01,453,0.527594,0.788779,453,604,0.428808,0.854785,604,906,0.30574,0.914191,906,1510,0.196026,0.976898,1510,2118,0.139754,0.976898,2118
7y3h_A,eval-val,413,312,2813,6.81,619,0.399031,0.791667,619,826,0.308717,0.817308,826,1239,0.223567,0.887821,1239,2065,0.142857,0.945513,2065,2813,0.10807,0.974359,2813
7wz5_A,eval-val,161,113,4691,29.14,241,0.045643,0.097345,241,322,0.037267,0.106195,322,483,0.031056,0.132743,483,805,0.023602,0.168142,805,4691,0.015562,0.646018,4691
7wzm_A,eval-val,492,456,2117,4.3,738,0.533875,0.864035,738,984,0.430894,0.929825,984,1476,0.29878,0.967105,1476,2117,0.212565,0.986842,2117,2117,0.212565,0.986842,2117
7x4p_A,eval-val,307,333,3724,12.13,460,0.417391,0.576577,460,614,0.356678,0.657658,614,921,0.275787,0.762763,921,1535,0.189577,0.873874,1535,3724,0.085124,0.951952,3724
7x3h_A,eval-val,290,296,1938,6.68,435,0.524138,0.77027,435,580,0.424138,0.831081,580,870,0.291954,0.858108,870,1450,0.181379,0.888514,1450,1938,0.139319,0.912162,1938
7x8l_A,eval-val,514,580,9690,18.85,771,0.440986,0.586207,771,1028,0.358949,0.636207,1028,1542,0.263943,0.701724,1542,2570,0.176265,0.781034,2570,9690,0.055108,0.92069,9690
7xcd_A,eval-val,178,148,4539,25.5,267,0.116105,0.209459,267,356,0.103933,0.25,356,534,0.076779,0.277027,534,890,0.059551,0.358108,890,4539,0.023573,0.722973,4539
7xg9_A,eval-val,288,241,4697,16.31,432,0.273148,0.489627,432,576,0.222222,0.53112,576,864,0.16088,0.576763,864,1440,0.111111,0.6639,1440,4697,0.043432,0.846473,4697
