target_id,eval_set,arm,lddt,tm_score,gdt_ts,rmsd,n_matched_atoms,cif
5sbj_A,eval-denovo,protenix_v2_msa,0.782306,0.617846,0.821429,0.808015,199,msa/msa/5sbj_A/predictions/5sbj_A/seed_42/predictions/5sbj_A_sample_0.cif
7pv5_A,eval-val,protenix_v2_msa,0.811923,0.928029,0.943333,0.580507,622,msa/msa/7pv5_A/predictions/7pv5_A/seed_42/predictions/7pv5_A_sample_0.cif
7qp5_A,eval-val,protenix_v2_msa,0.88538,0.97939,0.958506,0.841379,1936,msa/msa/7qp5_A/predictions/7qp5_A/seed_42/predictions/7qp5_A_sample_0.cif
7qsj_A,eval-val,protenix_v2_msa,0.927243,0.991819,0.986272,0.457218,2688,msa/msa/7qsj_A/predictions/7qsj_A/seed_42/predictions/7qsj_A_sample_0.cif
7t9r_A,eval-val,protenix_v2_msa,0.79473,0.83878,0.75,1.790314,316,msa/msa/7t9r_A/predictions/7t9r_A/seed_42/predictions/7t9r_A_sample_0.cif
7tjb_A,eval-val,protenix_v2_msa,0.892869,0.968845,0.948198,1.13031,1770,msa/msa/7tjb_A/predictions/7tjb_A/seed_42/predictions/7tjb_A_sample_0.cif
7tlh_A,eval-val,protenix_v2_msa,0.877091,0.94029,0.907258,0.816026,939,msa/msa/7tlh_A/predictions/7tlh_A/seed_42/predictions/7tlh_A_sample_0.cif
7uba_A,eval-val,protenix_v2_msa,0.884536,0.982171,0.973262,0.543272,1492,msa/msa/7uba_A/predictions/7uba_A/seed_42/predictions/7uba_A_sample_0.cif
7uk8_A,eval-val,protenix_v2_msa,0.839353,0.958641,0.903394,1.238571,3137,msa/msa/7uk8_A/predictions/7uk8_A/seed_42/predictions/7uk8_A_sample_0.cif
7ur2_A,eval-val,protenix_v2_msa,0.818623,0.917615,0.771875,1.826891,1277,msa/msa/7ur2_A/predictions/7ur2_A/seed_42/predictions/7ur2_A_sample_0.cif
7ur7_A,eval-denovo,protenix_v2_msa,0.835615,0.89355,0.896825,0.869664,534,msa/msa/7ur7_A/predictions/7ur7_A/seed_42/predictions/7ur7_A_sample_0.cif
7urp_A,eval-val,protenix_v2_msa,0.91428,0.982519,0.984277,0.688215,1185,msa/msa/7urp_A/predictions/7urp_A/seed_42/predictions/7urp_A_sample_0.cif
7uvg_A,eval-val,protenix_v2_msa,0.832199,0.948153,0.893072,1.056357,1301,msa/msa/7uvg_A/predictions/7uvg_A/seed_42/predictions/7uvg_A_sample_0.cif
7uww_A,eval-val,protenix_v2_msa,0.89368,0.90059,0.584652,1.880453,4835,msa/msa/7uww_A/predictions/7uww_A/seed_42/predictions/7uww_A_sample_0.cif
7v3o_A,eval-val,protenix_v2_msa,0.881524,0.978906,0.954874,0.695893,2200,msa/msa/7v3o_A/predictions/7v3o_A/seed_42/predictions/7v3o_A_sample_0.cif
7w15_A,eval-val,protenix_v2_msa,0.903584,0.979505,0.936007,0.548183,2354,msa/msa/7w15_A/predictions/7w15_A/seed_42/predictions/7w15_A_sample_0.cif
7wr2_A,eval-test,protenix_v2_msa,0.855611,0.959134,0.946691,0.560896,1088,msa/msa/7wr2_A/predictions/7wr2_A/seed_42/predictions/7wr2_A_sample_0.cif
7wu8_A,eval-test,protenix_v2_msa,0.914671,0.974346,0.978659,0.395938,632,msa/msa/7wu8_A/predictions/7wu8_A/seed_42/predictions/7wu8_A_sample_0.cif
